# time(ps) 	kappa_ee_mean	kappa_ee_upper	kappa_ee_lower
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-03	2.590188e-01	2.590188e-01	2.590188e-01
2.000000e-03	5.157895e-01	5.157895e-01	5.157895e-01
3.000000e-03	7.680963e-01	7.680963e-01	7.680963e-01
4.000000e-03	1.013786e+00	1.013786e+00	1.013786e+00
5.000000e-03	1.250798e+00	1.250798e+00	1.250798e+00
6.000000e-03	1.477188e+00	1.477188e+00	1.477188e+00
7.000000e-03	1.691155e+00	1.691155e+00	1.691155e+00
8.000000e-03	1.891057e+00	1.891057e+00	1.891057e+00
9.000000e-03	2.075430e+00	2.075430e+00	2.075430e+00
1.000000e-02	2.242997e+00	2.242997e+00	2.242997e+00
1.100000e-02	2.392679e+00	2.392679e+00	2.392679e+00
1.200000e-02	2.523598e+00	2.523598e+00	2.523598e+00
1.300000e-02	2.635082e+00	2.635082e+00	2.635082e+00
1.400000e-02	2.726660e+00	2.726660e+00	2.726660e+00
1.500000e-02	2.798064e+00	2.798064e+00	2.798064e+00
1.600000e-02	2.849223e+00	2.849223e+00	2.849223e+00
1.700000e-02	2.880257e+00	2.880257e+00	2.880257e+00
1.800000e-02	2.891469e+00	2.891469e+00	2.891469e+00
1.900000e-02	2.883342e+00	2.883342e+00	2.883342e+00
2.000000e-02	2.856525e+00	2.856525e+00	2.856525e+00
2.100000e-02	2.811826e+00	2.811826e+00	2.811826e+00
2.200000e-02	2.750201e+00	2.750201e+00	2.750201e+00
2.300000e-02	2.672743e+00	2.672743e+00	2.672743e+00
2.400000e-02	2.580672e+00	2.580672e+00	2.580672e+00
2.500000e-02	2.475319e+00	2.475319e+00	2.475319e+00
2.600000e-02	2.358113e+00	2.358113e+00	2.358113e+00
2.700000e-02	2.230570e+00	2.230570e+00	2.230570e+00
2.800000e-02	2.094273e+00	2.094273e+00	2.094273e+00
2.900000e-02	1.950861e+00	1.950861e+00	1.950861e+00
3.000000e-02	1.802011e+00	1.802011e+00	1.802011e+00
3.100000e-02	1.649421e+00	1.649421e+00	1.649421e+00
3.200000e-02	1.494796e+00	1.494796e+00	1.494796e+00
3.300000e-02	1.339828e+00	1.339828e+00	1.339828e+00
3.400000e-02	1.186186e+00	1.186186e+00	1.186186e+00
3.500000e-02	1.035494e+00	1.035494e+00	1.035494e+00
3.600000e-02	8.893191e-01	8.893191e-01	8.893191e-01
3.700000e-02	7.491589e-01	7.491589e-01	7.491589e-01
3.800000e-02	6.164249e-01	6.164249e-01	6.164249e-01
3.900000e-02	4.924319e-01	4.924319e-01	4.924319e-01
4.000000e-02	3.783870e-01	3.783870e-01	3.783870e-01
4.100000e-02	2.753790e-01	2.753790e-01	2.753790e-01
4.200000e-02	1.843697e-01	1.843697e-01	1.843697e-01
4.300000e-02	1.061870e-01	1.061870e-01	1.061870e-01
4.400000e-02	4.151771e-02	4.151771e-02	4.151771e-02
4.500000e-02	-9.096276e-03	-9.096276e-03	-9.096276e-03
4.600000e-02	-4.526232e-02	-4.526232e-02	-4.526232e-02
4.700000e-02	-6.673899e-02	-6.673899e-02	-6.673899e-02
4.800000e-02	-7.343705e-02	-7.343705e-02	-7.343705e-02
4.900000e-02	-6.541921e-02	-6.541921e-02	-6.541921e-02
5.000000e-02	-4.289841e-02	-4.289841e-02	-4.289841e-02
5.100000e-02	-6.235015e-03	-6.235015e-03	-6.235015e-03
5.200000e-02	4.406741e-02	4.406741e-02	4.406741e-02
5.300000e-02	1.073675e-01	1.073675e-01	1.073675e-01
5.400000e-02	1.828926e-01	1.828926e-01	1.828926e-01
5.500000e-02	2.697469e-01	2.697469e-01	2.697469e-01
5.600000e-02	3.669201e-01	3.669201e-01	3.669201e-01
5.700000e-02	4.732977e-01	4.732977e-01	4.732977e-01
5.800000e-02	5.876722e-01	5.876722e-01	5.876722e-01
5.900000e-02	7.087548e-01	7.087548e-01	7.087548e-01
6.000000e-02	8.351892e-01	8.351892e-01	8.351892e-01
6.100000e-02	9.655643e-01	9.655643e-01	9.655643e-01
6.200000e-02	1.098429e+00	1.098429e+00	1.098429e+00
