# time(ps) 	kappa_ev_mean	kappa_ev_upper	kappa_ev_lower
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-03	-3.268632e-09	-3.268632e-09	-3.268632e-09
2.000000e-03	-6.533760e-09	-6.533760e-09	-6.533760e-09
3.000000e-03	-9.790217e-09	-9.790217e-09	-9.790217e-09
4.000000e-03	-1.303275e-08	-1.303275e-08	-1.303275e-08
5.000000e-03	-1.625600e-08	-1.625600e-08	-1.625600e-08
6.000000e-03	-1.945448e-08	-1.945448e-08	-1.945448e-08
7.000000e-03	-2.262256e-08	-2.262256e-08	-2.262256e-08
8.000000e-03	-2.575447e-08	-2.575447e-08	-2.575447e-08
9.000000e-03	-2.884431e-08	-2.884431e-08	-2.884431e-08
1.000000e-02	-3.188608e-08	-3.188608e-08	-3.188608e-08
1.100000e-02	-3.487368e-08	-3.487368e-08	-3.487368e-08
1.200000e-02	-3.780099e-08	-3.780099e-08	-3.780099e-08
1.300000e-02	-4.066188e-08	-4.066188e-08	-4.066188e-08
1.400000e-02	-4.345027e-08	-4.345027e-08	-4.345027e-08
1.500000e-02	-4.616020e-08	-4.616020e-08	-4.616020e-08
1.600000e-02	-4.878588e-08	-4.878588e-08	-4.878588e-08
1.700000e-02	-5.132171e-08	-5.132171e-08	-5.132171e-08
1.800000e-02	-5.376239e-08	-5.376239e-08	-5.376239e-08
1.900000e-02	-5.610295e-08	-5.610295e-08	-5.610295e-08
2.000000e-02	-5.833878e-08	-5.833878e-08	-5.833878e-08
2.100000e-02	-6.046569e-08	-6.046569e-08	-6.046569e-08
2.200000e-02	-6.247996e-08	-6.247996e-08	-6.247996e-08
2.300000e-02	-6.437831e-08	-6.437831e-08	-6.437831e-08
2.400000e-02	-6.615802e-08	-6.615802e-08	-6.615802e-08
2.500000e-02	-6.781686e-08	-6.781686e-08	-6.781686e-08
2.600000e-02	-6.935312e-08	-6.935312e-08	-6.935312e-08
2.700000e-02	-7.076567e-08	-7.076567e-08	-7.076567e-08
2.800000e-02	-7.205388e-08	-7.205388e-08	-7.205388e-08
2.900000e-02	-7.321767e-08	-7.321767e-08	-7.321767e-08
3.000000e-02	-7.425747e-08	-7.425747e-08	-7.425747e-08
3.100000e-02	-7.517420e-08	-7.517420e-08	-7.517420e-08
3.200000e-02	-7.596930e-08	-7.596930e-08	-7.596930e-08
3.300000e-02	-7.664462e-08	-7.664462e-08	-7.664462e-08
3.400000e-02	-7.720248e-08	-7.720248e-08	-7.720248e-08
3.500000e-02	-7.764559e-08	-7.764559e-08	-7.764559e-08
3.600000e-02	-7.797703e-08	-7.797703e-08	-7.797703e-08
3.700000e-02	-7.820023e-08	-7.820023e-08	-7.820023e-08
3.800000e-02	-7.831892e-08	-7.831892e-08	-7.831892e-08
3.900000e-02	-7.833712e-08	-7.833712e-08	-7.833712e-08
4.000000e-02	-7.825908e-08	-7.825908e-08	-7.825908e-08
4.100000e-02	-7.808926e-08	-7.808926e-08	-7.808926e-08
4.200000e-02	-7.783229e-08	-7.783229e-08	-7.783229e-08
4.300000e-02	-7.749294e-08	-7.749294e-08	-7.749294e-08
4.400000e-02	-7.707611e-08	-7.707611e-08	-7.707611e-08
4.500000e-02	-7.658676e-08	-7.658676e-08	-7.658676e-08
4.600000e-02	-7.602990e-08	-7.602990e-08	-7.602990e-08
4.700000e-02	-7.541058e-08	-7.541058e-08	-7.541058e-08
4.800000e-02	-7.473383e-08	-7.473383e-08	-7.473383e-08
4.900000e-02	-7.400466e-08	-7.400466e-08	-7.400466e-08
5.000000e-02	-7.322804e-08	-7.322804e-08	-7.322804e-08
5.100000e-02	-7.240885e-08	-7.240885e-08	-7.240885e-08
5.200000e-02	-7.155190e-08	-7.155190e-08	-7.155190e-08
5.300000e-02	-7.066187e-08	-7.066187e-08	-7.066187e-08
5.400000e-02	-6.974334e-08	-6.974334e-08	-6.974334e-08
5.500000e-02	-6.880073e-08	-6.880073e-08	-6.880073e-08
5.600000e-02	-6.783833e-08	-6.783833e-08	-6.783833e-08
5.700000e-02	-6.686026e-08	-6.686026e-08	-6.686026e-08
5.800000e-02	-6.587046e-08	-6.587046e-08	-6.587046e-08
5.900000e-02	-6.487270e-08	-6.487270e-08	-6.487270e-08
6.000000e-02	-6.387056e-08	-6.387056e-08	-6.387056e-08
6.100000e-02	-6.286743e-08	-6.286743e-08	-6.286743e-08
6.200000e-02	-6.186648e-08	-6.186648e-08	-6.186648e-08
6.300000e-02	-6.087071e-08	-6.087071e-08	-6.087071e-08
6.400000e-02	-5.988289e-08	-5.988289e-08	-5.988289e-08
6.500000e-02	-5.890559e-08	-5.890559e-08	-5.890559e-08
6.600000e-02	-5.794117e-08	-5.794117e-08	-5.794117e-08
6.700000e-02	-5.699180e-08	-5.699180e-08	-5.699180e-08
6.800000e-02	-5.605941e-08	-5.605941e-08	-5.605941e-08
6.900000e-02	-5.514577e-08	-5.514577e-08	-5.514577e-08
7.000000e-02	-5.425242e-08	-5.425242e-08	-5.425242e-08
7.100000e-02	-5.338071e-08	-5.338071e-08	-5.338071e-08
7.200000e-02	-5.253180e-08	-5.253180e-08	-5.253180e-08
7.300000e-02	-5.170668e-08	-5.170668e-08	-5.170668e-08
7.400000e-02	-5.090615e-08	-5.090615e-08	-5.090615e-08
7.500000e-02	-5.013084e-08	-5.013084e-08	-5.013084e-08
7.600000e-02	-4.938122e-08	-4.938122e-08	-4.938122e-08
7.700000e-02	-4.865762e-08	-4.865762e-08	-4.865762e-08
7.800000e-02	-4.796020e-08	-4.796020e-08	-4.796020e-08
7.900000e-02	-4.728900e-08	-4.728900e-08	-4.728900e-08
8.000000e-02	-4.664395e-08	-4.664395e-08	-4.664395e-08
8.100000e-02	-4.602484e-08	-4.602484e-08	-4.602484e-08
8.200000e-02	-4.543136e-08	-4.543136e-08	-4.543136e-08
8.300000e-02	-4.486313e-08	-4.486313e-08	-4.486313e-08
8.400000e-02	-4.431966e-08	-4.431966e-08	-4.431966e-08
8.500000e-02	-4.380039e-08	-4.380039e-08	-4.380039e-08
8.600000e-02	-4.330470e-08	-4.330470e-08	-4.330470e-08
8.700000e-02	-4.283191e-08	-4.283191e-08	-4.283191e-08
8.800000e-02	-4.238131e-08	-4.238131e-08	-4.238131e-08
8.900000e-02	-4.195213e-08	-4.195213e-08	-4.195213e-08
9.000000e-02	-4.154358e-08	-4.154358e-08	-4.154358e-08
9.100000e-02	-4.115484e-08	-4.115484e-08	-4.115484e-08
9.200000e-02	-4.078509e-08	-4.078509e-08	-4.078509e-08
9.300000e-02	-4.043348e-08	-4.043348e-08	-4.043348e-08
9.400000e-02	-4.009918e-08	-4.009918e-08	-4.009918e-08
9.500000e-02	-3.978134e-08	-3.978134e-08	-3.978134e-08
9.600000e-02	-3.947911e-08	-3.947911e-08	-3.947911e-08
9.700000e-02	-3.919165e-08	-3.919165e-08	-3.919165e-08
9.800000e-02	-3.891816e-08	-3.891816e-08	-3.891816e-08
9.900000e-02	-3.865781e-08	-3.865781e-08	-3.865781e-08
1.000000e-01	-3.840981e-08	-3.840981e-08	-3.840981e-08
1.010000e-01	-3.817337e-08	-3.817337e-08	-3.817337e-08
1.020000e-01	-3.794774e-08	-3.794774e-08	-3.794774e-08
1.030000e-01	-3.773216e-08	-3.773216e-08	-3.773216e-08
1.040000e-01	-3.752592e-08	-3.752592e-08	-3.752592e-08
1.050000e-01	-3.732831e-08	-3.732831e-08	-3.732831e-08
1.060000e-01	-3.713864e-08	-3.713864e-08	-3.713864e-08
1.070000e-01	-3.695627e-08	-3.695627e-08	-3.695627e-08
1.080000e-01	-3.678055e-08	-3.678055e-08	-3.678055e-08
1.090000e-01	-3.661087e-08	-3.661087e-08	-3.661087e-08
1.100000e-01	-3.644665e-08	-3.644665e-08	-3.644665e-08
1.110000e-01	-3.628734e-08	-3.628734e-08	-3.628734e-08
1.120000e-01	-3.613239e-08	-3.613239e-08	-3.613239e-08
1.130000e-01	-3.598130e-08	-3.598130e-08	-3.598130e-08
1.140000e-01	-3.583360e-08	-3.583360e-08	-3.583360e-08
1.150000e-01	-3.568885e-08	-3.568885e-08	-3.568885e-08
1.160000e-01	-3.554662e-08	-3.554662e-08	-3.554662e-08
1.170000e-01	-3.540653e-08	-3.540653e-08	-3.540653e-08
1.180000e-01	-3.526822e-08	-3.526822e-08	-3.526822e-08
1.190000e-01	-3.513138e-08	-3.513138e-08	-3.513138e-08
1.200000e-01	-3.499569e-08	-3.499569e-08	-3.499569e-08
1.210000e-01	-3.486091e-08	-3.486091e-08	-3.486091e-08
1.220000e-01	-3.472679e-08	-3.472679e-08	-3.472679e-08
1.230000e-01	-3.459314e-08	-3.459314e-08	-3.459314e-08
1.240000e-01	-3.445977e-08	-3.445977e-08	-3.445977e-08
1.250000e-01	-3.432653e-08	-3.432653e-08	-3.432653e-08
1.260000e-01	-3.419332e-08	-3.419332e-08	-3.419332e-08
1.270000e-01	-3.406003e-08	-3.406003e-08	-3.406003e-08
1.280000e-01	-3.392659e-08	-3.392659e-08	-3.392659e-08
1.290000e-01	-3.379297e-08	-3.379297e-08	-3.379297e-08
1.300000e-01	-3.365913e-08	-3.365913e-08	-3.365913e-08
1.310000e-01	-3.352509e-08	-3.352509e-08	-3.352509e-08
1.320000e-01	-3.339085e-08	-3.339085e-08	-3.339085e-08
1.330000e-01	-3.325647e-08	-3.325647e-08	-3.325647e-08
1.340000e-01	-3.312199e-08	-3.312199e-08	-3.312199e-08
1.350000e-01	-3.298749e-08	-3.298749e-08	-3.298749e-08
1.360000e-01	-3.285306e-08	-3.285306e-08	-3.285306e-08
1.370000e-01	-3.271881e-08	-3.271881e-08	-3.271881e-08
1.380000e-01	-3.258485e-08	-3.258485e-08	-3.258485e-08
1.390000e-01	-3.245132e-08	-3.245132e-08	-3.245132e-08
1.400000e-01	-3.231835e-08	-3.231835e-08	-3.231835e-08
1.410000e-01	-3.218610e-08	-3.218610e-08	-3.218610e-08
1.420000e-01	-3.205473e-08	-3.205473e-08	-3.205473e-08
1.430000e-01	-3.192442e-08	-3.192442e-08	-3.192442e-08
1.440000e-01	-3.179534e-08	-3.179534e-08	-3.179534e-08
1.450000e-01	-3.166767e-08	-3.166767e-08	-3.166767e-08
1.460000e-01	-3.154162e-08	-3.154162e-08	-3.154162e-08
1.470000e-01	-3.141738e-08	-3.141738e-08	-3.141738e-08
1.480000e-01	-3.129515e-08	-3.129515e-08	-3.129515e-08
1.490000e-01	-3.117513e-08	-3.117513e-08	-3.117513e-08
1.500000e-01	-3.105755e-08	-3.105755e-08	-3.105755e-08
1.510000e-01	-3.094261e-08	-3.094261e-08	-3.094261e-08
1.520000e-01	-3.083052e-08	-3.083052e-08	-3.083052e-08
1.530000e-01	-3.072150e-08	-3.072150e-08	-3.072150e-08
1.540000e-01	-3.061578e-08	-3.061578e-08	-3.061578e-08
1.550000e-01	-3.051357e-08	-3.051357e-08	-3.051357e-08
1.560000e-01	-3.041509e-08	-3.041509e-08	-3.041509e-08
1.570000e-01	-3.032056e-08	-3.032056e-08	-3.032056e-08
1.580000e-01	-3.023021e-08	-3.023021e-08	-3.023021e-08
1.590000e-01	-3.014427e-08	-3.014427e-08	-3.014427e-08
1.600000e-01	-3.006297e-08	-3.006297e-08	-3.006297e-08
1.610000e-01	-2.998654e-08	-2.998654e-08	-2.998654e-08
1.620000e-01	-2.991521e-08	-2.991521e-08	-2.991521e-08
1.630000e-01	-2.984921e-08	-2.984921e-08	-2.984921e-08
1.640000e-01	-2.978880e-08	-2.978880e-08	-2.978880e-08
1.650000e-01	-2.973420e-08	-2.973420e-08	-2.973420e-08
1.660000e-01	-2.968567e-08	-2.968567e-08	-2.968567e-08
1.670000e-01	-2.964343e-08	-2.964343e-08	-2.964343e-08
1.680000e-01	-2.960773e-08	-2.960773e-08	-2.960773e-08
1.690000e-01	-2.957880e-08	-2.957880e-08	-2.957880e-08
1.700000e-01	-2.955687e-08	-2.955687e-08	-2.955687e-08
1.710000e-01	-2.954218e-08	-2.954218e-08	-2.954218e-08
1.720000e-01	-2.953492e-08	-2.953492e-08	-2.953492e-08
1.730000e-01	-2.953531e-08	-2.953531e-08	-2.953531e-08
1.740000e-01	-2.954353e-08	-2.954353e-08	-2.954353e-08
1.750000e-01	-2.955976e-08	-2.955976e-08	-2.955976e-08
1.760000e-01	-2.958416e-08	-2.958416e-08	-2.958416e-08
1.770000e-01	-2.961685e-08	-2.961685e-08	-2.961685e-08
1.780000e-01	-2.965795e-08	-2.965795e-08	-2.965795e-08
1.790000e-01	-2.970754e-08	-2.970754e-08	-2.970754e-08
1.800000e-01	-2.976570e-08	-2.976570e-08	-2.976570e-08
1.810000e-01	-2.983245e-08	-2.983245e-08	-2.983245e-08
1.820000e-01	-2.990780e-08	-2.990780e-08	-2.990780e-08
1.830000e-01	-2.999173e-08	-2.999173e-08	-2.999173e-08
1.840000e-01	-3.008419e-08	-3.008419e-08	-3.008419e-08
1.850000e-01	-3.018509e-08	-3.018509e-08	-3.018509e-08
1.860000e-01	-3.029432e-08	-3.029432e-08	-3.029432e-08
1.870000e-01	-3.041174e-08	-3.041174e-08	-3.041174e-08
1.880000e-01	-3.053717e-08	-3.053717e-08	-3.053717e-08
1.890000e-01	-3.067041e-08	-3.067041e-08	-3.067041e-08
1.900000e-01	-3.081122e-08	-3.081122e-08	-3.081122e-08
1.910000e-01	-3.095934e-08	-3.095934e-08	-3.095934e-08
1.920000e-01	-3.111447e-08	-3.111447e-08	-3.111447e-08
1.930000e-01	-3.127629e-08	-3.127629e-08	-3.127629e-08
1.940000e-01	-3.144444e-08	-3.144444e-08	-3.144444e-08
1.950000e-01	-3.161856e-08	-3.161856e-08	-3.161856e-08
1.960000e-01	-3.179824e-08	-3.179824e-08	-3.179824e-08
1.970000e-01	-3.198303e-08	-3.198303e-08	-3.198303e-08
1.980000e-01	-3.217250e-08	-3.217250e-08	-3.217250e-08
1.990000e-01	-3.236616e-08	-3.236616e-08	-3.236616e-08
2.000000e-01	-3.256350e-08	-3.256350e-08	-3.256350e-08
2.010000e-01	-3.276402e-08	-3.276402e-08	-3.276402e-08
2.020000e-01	-3.296717e-08	-3.296717e-08	-3.296717e-08
2.030000e-01	-3.317241e-08	-3.317241e-08	-3.317241e-08
2.040000e-01	-3.337915e-08	-3.337915e-08	-3.337915e-08
2.050000e-01	-3.358683e-08	-3.358683e-08	-3.358683e-08
2.060000e-01	-3.379486e-08	-3.379486e-08	-3.379486e-08
2.070000e-01	-3.400265e-08	-3.400265e-08	-3.400265e-08
2.080000e-01	-3.420960e-08	-3.420960e-08	-3.420960e-08
2.090000e-01	-3.441511e-08	-3.441511e-08	-3.441511e-08
2.100000e-01	-3.461859e-08	-3.461859e-08	-3.461859e-08
2.110000e-01	-3.481945e-08	-3.481945e-08	-3.481945e-08
2.120000e-01	-3.501712e-08	-3.501712e-08	-3.501712e-08
2.130000e-01	-3.521102e-08	-3.521102e-08	-3.521102e-08
2.140000e-01	-3.540060e-08	-3.540060e-08	-3.540060e-08
2.150000e-01	-3.558532e-08	-3.558532e-08	-3.558532e-08
2.160000e-01	-3.576468e-08	-3.576468e-08	-3.576468e-08
2.170000e-01	-3.593817e-08	-3.593817e-08	-3.593817e-08
2.180000e-01	-3.610534e-08	-3.610534e-08	-3.610534e-08
2.190000e-01	-3.626575e-08	-3.626575e-08	-3.626575e-08
2.200000e-01	-3.641900e-08	-3.641900e-08	-3.641900e-08
2.210000e-01	-3.656472e-08	-3.656472e-08	-3.656472e-08
2.220000e-01	-3.670259e-08	-3.670259e-08	-3.670259e-08
2.230000e-01	-3.683232e-08	-3.683232e-08	-3.683232e-08
2.240000e-01	-3.695369e-08	-3.695369e-08	-3.695369e-08
2.250000e-01	-3.706649e-08	-3.706649e-08	-3.706649e-08
2.260000e-01	-3.717060e-08	-3.717060e-08	-3.717060e-08
2.270000e-01	-3.726592e-08	-3.726592e-08	-3.726592e-08
2.280000e-01	-3.735243e-08	-3.735243e-08	-3.735243e-08
2.290000e-01	-3.743016e-08	-3.743016e-08	-3.743016e-08
2.300000e-01	-3.749920e-08	-3.749920e-08	-3.749920e-08
2.310000e-01	-3.755968e-08	-3.755968e-08	-3.755968e-08
2.320000e-01	-3.761181e-08	-3.761181e-08	-3.761181e-08
2.330000e-01	-3.765584e-08	-3.765584e-08	-3.765584e-08
2.340000e-01	-3.769208e-08	-3.769208e-08	-3.769208e-08
2.350000e-01	-3.772090e-08	-3.772090e-08	-3.772090e-08
2.360000e-01	-3.774270e-08	-3.774270e-08	-3.774270e-08
2.370000e-01	-3.775794e-08	-3.775794e-08	-3.775794e-08
2.380000e-01	-3.776709e-08	-3.776709e-08	-3.776709e-08
2.390000e-01	-3.777068e-08	-3.777068e-08	-3.777068e-08
2.400000e-01	-3.776925e-08	-3.776925e-08	-3.776925e-08
2.410000e-01	-3.776336e-08	-3.776336e-08	-3.776336e-08
2.420000e-01	-3.775357e-08	-3.775357e-08	-3.775357e-08
2.430000e-01	-3.774046e-08	-3.774046e-08	-3.774046e-08
2.440000e-01	-3.772459e-08	-3.772459e-08	-3.772459e-08
2.450000e-01	-3.770651e-08	-3.770651e-08	-3.770651e-08
2.460000e-01	-3.768675e-08	-3.768675e-08	-3.768675e-08
2.470000e-01	-3.766581e-08	-3.766581e-08	-3.766581e-08
2.480000e-01	-3.764415e-08	-3.764415e-08	-3.764415e-08
2.490000e-01	-3.762219e-08	-3.762219e-08	-3.762219e-08
2.500000e-01	-3.760032e-08	-3.760032e-08	-3.760032e-08
2.510000e-01	-3.757886e-08	-3.757886e-08	-3.757886e-08
2.520000e-01	-3.755808e-08	-3.755808e-08	-3.755808e-08
2.530000e-01	-3.753818e-08	-3.753818e-08	-3.753818e-08
2.540000e-01	-3.751933e-08	-3.751933e-08	-3.751933e-08
2.550000e-01	-3.750162e-08	-3.750162e-08	-3.750162e-08
2.560000e-01	-3.748507e-08	-3.748507e-08	-3.748507e-08
2.570000e-01	-3.746966e-08	-3.746966e-08	-3.746966e-08
2.580000e-01	-3.745530e-08	-3.745530e-08	-3.745530e-08
2.590000e-01	-3.744185e-08	-3.744185e-08	-3.744185e-08
2.600000e-01	-3.742912e-08	-3.742912e-08	-3.742912e-08
2.610000e-01	-3.741687e-08	-3.741687e-08	-3.741687e-08
2.620000e-01	-3.740479e-08	-3.740479e-08	-3.740479e-08
2.630000e-01	-3.739258e-08	-3.739258e-08	-3.739258e-08
2.640000e-01	-3.737985e-08	-3.737985e-08	-3.737985e-08
2.650000e-01	-3.736622e-08	-3.736622e-08	-3.736622e-08
2.660000e-01	-3.735126e-08	-3.735126e-08	-3.735126e-08
2.670000e-01	-3.733453e-08	-3.733453e-08	-3.733453e-08
2.680000e-01	-3.731556e-08	-3.731556e-08	-3.731556e-08
2.690000e-01	-3.729388e-08	-3.729388e-08	-3.729388e-08
2.700000e-01	-3.726900e-08	-3.726900e-08	-3.726900e-08
2.710000e-01	-3.724043e-08	-3.724043e-08	-3.724043e-08
2.720000e-01	-3.720769e-08	-3.720769e-08	-3.720769e-08
2.730000e-01	-3.717029e-08	-3.717029e-08	-3.717029e-08
2.740000e-01	-3.712774e-08	-3.712774e-08	-3.712774e-08
2.750000e-01	-3.707958e-08	-3.707958e-08	-3.707958e-08
2.760000e-01	-3.702534e-08	-3.702534e-08	-3.702534e-08
2.770000e-01	-3.696459e-08	-3.696459e-08	-3.696459e-08
2.780000e-01	-3.689690e-08	-3.689690e-08	-3.689690e-08
2.790000e-01	-3.682187e-08	-3.682187e-08	-3.682187e-08
2.800000e-01	-3.673913e-08	-3.673913e-08	-3.673913e-08
2.810000e-01	-3.664833e-08	-3.664833e-08	-3.664833e-08
2.820000e-01	-3.654916e-08	-3.654916e-08	-3.654916e-08
2.830000e-01	-3.644134e-08	-3.644134e-08	-3.644134e-08
2.840000e-01	-3.632464e-08	-3.632464e-08	-3.632464e-08
2.850000e-01	-3.619886e-08	-3.619886e-08	-3.619886e-08
2.860000e-01	-3.606385e-08	-3.606385e-08	-3.606385e-08
2.870000e-01	-3.591951e-08	-3.591951e-08	-3.591951e-08
2.880000e-01	-3.576581e-08	-3.576581e-08	-3.576581e-08
2.890000e-01	-3.560273e-08	-3.560273e-08	-3.560273e-08
2.900000e-01	-3.543035e-08	-3.543035e-08	-3.543035e-08
2.910000e-01	-3.524881e-08	-3.524881e-08	-3.524881e-08
2.920000e-01	-3.505827e-08	-3.505827e-08	-3.505827e-08
2.930000e-01	-3.485900e-08	-3.485900e-08	-3.485900e-08
2.940000e-01	-3.465131e-08	-3.465131e-08	-3.465131e-08
2.950000e-01	-3.443557e-08	-3.443557e-08	-3.443557e-08
2.960000e-01	-3.421224e-08	-3.421224e-08	-3.421224e-08
2.970000e-01	-3.398181e-08	-3.398181e-08	-3.398181e-08
2.980000e-01	-3.374485e-08	-3.374485e-08	-3.374485e-08
2.990000e-01	-3.350199e-08	-3.350199e-08	-3.350199e-08
3.000000e-01	-3.325388e-08	-3.325388e-08	-3.325388e-08
3.010000e-01	-3.300127e-08	-3.300127e-08	-3.300127e-08
3.020000e-01	-3.274491e-08	-3.274491e-08	-3.274491e-08
3.030000e-01	-3.248561e-08	-3.248561e-08	-3.248561e-08
3.040000e-01	-3.222420e-08	-3.222420e-08	-3.222420e-08
3.050000e-01	-3.196154e-08	-3.196154e-08	-3.196154e-08
3.060000e-01	-3.169849e-08	-3.169849e-08	-3.169849e-08
3.070000e-01	-3.143594e-08	-3.143594e-08	-3.143594e-08
3.080000e-01	-3.117476e-08	-3.117476e-08	-3.117476e-08
3.090000e-01	-3.091581e-08	-3.091581e-08	-3.091581e-08
3.100000e-01	-3.065994e-08	-3.065994e-08	-3.065994e-08
3.110000e-01	-3.040795e-08	-3.040795e-08	-3.040795e-08
3.120000e-01	-3.016062e-08	-3.016062e-08	-3.016062e-08
3.130000e-01	-2.991869e-08	-2.991869e-08	-2.991869e-08
3.140000e-01	-2.968282e-08	-2.968282e-08	-2.968282e-08
3.150000e-01	-2.945364e-08	-2.945364e-08	-2.945364e-08
3.160000e-01	-2.923169e-08	-2.923169e-08	-2.923169e-08
3.170000e-01	-2.901746e-08	-2.901746e-08	-2.901746e-08
3.180000e-01	-2.881135e-08	-2.881135e-08	-2.881135e-08
3.190000e-01	-2.861367e-08	-2.861367e-08	-2.861367e-08
3.200000e-01	-2.842469e-08	-2.842469e-08	-2.842469e-08
3.210000e-01	-2.824456e-08	-2.824456e-08	-2.824456e-08
3.220000e-01	-2.807337e-08	-2.807337e-08	-2.807337e-08
3.230000e-01	-2.791111e-08	-2.791111e-08	-2.791111e-08
3.240000e-01	-2.775773e-08	-2.775773e-08	-2.775773e-08
3.250000e-01	-2.761306e-08	-2.761306e-08	-2.761306e-08
3.260000e-01	-2.747689e-08	-2.747689e-08	-2.747689e-08
3.270000e-01	-2.734895e-08	-2.734895e-08	-2.734895e-08
3.280000e-01	-2.722889e-08	-2.722889e-08	-2.722889e-08
3.290000e-01	-2.711631e-08	-2.711631e-08	-2.711631e-08
3.300000e-01	-2.701078e-08	-2.701078e-08	-2.701078e-08
3.310000e-01	-2.691183e-08	-2.691183e-08	-2.691183e-08
3.320000e-01	-2.681893e-08	-2.681893e-08	-2.681893e-08
3.330000e-01	-2.673156e-08	-2.673156e-08	-2.673156e-08
3.340000e-01	-2.664917e-08	-2.664917e-08	-2.664917e-08
3.350000e-01	-2.657119e-08	-2.657119e-08	-2.657119e-08
3.360000e-01	-2.649705e-08	-2.649705e-08	-2.649705e-08
3.370000e-01	-2.642620e-08	-2.642620e-08	-2.642620e-08
3.380000e-01	-2.635809e-08	-2.635809e-08	-2.635809e-08
3.390000e-01	-2.629217e-08	-2.629217e-08	-2.629217e-08
3.400000e-01	-2.622794e-08	-2.622794e-08	-2.622794e-08
3.410000e-01	-2.616491e-08	-2.616491e-08	-2.616491e-08
3.420000e-01	-2.610264e-08	-2.610264e-08	-2.610264e-08
3.430000e-01	-2.604069e-08	-2.604069e-08	-2.604069e-08
3.440000e-01	-2.597872e-08	-2.597872e-08	-2.597872e-08
3.450000e-01	-2.591639e-08	-2.591639e-08	-2.591639e-08
3.460000e-01	-2.585344e-08	-2.585344e-08	-2.585344e-08
3.470000e-01	-2.578964e-08	-2.578964e-08	-2.578964e-08
3.480000e-01	-2.572484e-08	-2.572484e-08	-2.572484e-08
3.490000e-01	-2.565893e-08	-2.565893e-08	-2.565893e-08
3.500000e-01	-2.559188e-08	-2.559188e-08	-2.559188e-08
3.510000e-01	-2.552372e-08	-2.552372e-08	-2.552372e-08
3.520000e-01	-2.545452e-08	-2.545452e-08	-2.545452e-08
