# time(ps) 	kappa_vv_mean	kappa_vv_upper	kappa_vv_lower
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-03	2.721845e-16	2.721845e-16	2.721845e-16
2.000000e-03	5.437288e-16	5.437288e-16	5.437288e-16
3.000000e-03	8.139956e-16	8.139956e-16	8.139956e-16
4.000000e-03	1.082355e-15	1.082355e-15	1.082355e-15
5.000000e-03	1.348189e-15	1.348189e-15	1.348189e-15
6.000000e-03	1.610893e-15	1.610893e-15	1.610893e-15
7.000000e-03	1.869883e-15	1.869883e-15	1.869883e-15
8.000000e-03	2.124595e-15	2.124595e-15	2.124595e-15
9.000000e-03	2.374488e-15	2.374488e-15	2.374488e-15
1.000000e-02	2.619052e-15	2.619052e-15	2.619052e-15
1.100000e-02	2.857801e-15	2.857801e-15	2.857801e-15
1.200000e-02	3.090286e-15	3.090286e-15	3.090286e-15
1.300000e-02	3.316087e-15	3.316087e-15	3.316087e-15
1.400000e-02	3.534820e-15	3.534820e-15	3.534820e-15
1.500000e-02	3.746136e-15	3.746136e-15	3.746136e-15
1.600000e-02	3.949723e-15	3.949723e-15	3.949723e-15
1.700000e-02	4.145306e-15	4.145306e-15	4.145306e-15
1.800000e-02	4.332645e-15	4.332645e-15	4.332645e-15
1.900000e-02	4.511540e-15	4.511540e-15	4.511540e-15
2.000000e-02	4.681826e-15	4.681826e-15	4.681826e-15
2.100000e-02	4.843372e-15	4.843372e-15	4.843372e-15
2.200000e-02	4.996084e-15	4.996084e-15	4.996084e-15
2.300000e-02	5.139902e-15	5.139902e-15	5.139902e-15
2.400000e-02	5.274800e-15	5.274800e-15	5.274800e-15
2.500000e-02	5.400780e-15	5.400780e-15	5.400780e-15
2.600000e-02	5.517877e-15	5.517877e-15	5.517877e-15
2.700000e-02	5.626154e-15	5.626154e-15	5.626154e-15
2.800000e-02	5.725701e-15	5.725701e-15	5.725701e-15
2.900000e-02	5.816633e-15	5.816633e-15	5.816633e-15
3.000000e-02	5.899088e-15	5.899088e-15	5.899088e-15
3.100000e-02	5.973226e-15	5.973226e-15	5.973226e-15
3.200000e-02	6.039227e-15	6.039227e-15	6.039227e-15
3.300000e-02	6.097290e-15	6.097290e-15	6.097290e-15
3.400000e-02	6.147628e-15	6.147628e-15	6.147628e-15
3.500000e-02	6.190472e-15	6.190472e-15	6.190472e-15
3.600000e-02	6.226062e-15	6.226062e-15	6.226062e-15
3.700000e-02	6.254653e-15	6.254653e-15	6.254653e-15
3.800000e-02	6.276506e-15	6.276506e-15	6.276506e-15
3.900000e-02	6.291894e-15	6.291894e-15	6.291894e-15
4.000000e-02	6.301093e-15	6.301093e-15	6.301093e-15
4.100000e-02	6.304385e-15	6.304385e-15	6.304385e-15
4.200000e-02	6.302058e-15	6.302058e-15	6.302058e-15
4.300000e-02	6.294400e-15	6.294400e-15	6.294400e-15
4.400000e-02	6.281700e-15	6.281700e-15	6.281700e-15
4.500000e-02	6.264249e-15	6.264249e-15	6.264249e-15
4.600000e-02	6.242335e-15	6.242335e-15	6.242335e-15
4.700000e-02	6.216247e-15	6.216247e-15	6.216247e-15
4.800000e-02	6.186266e-15	6.186266e-15	6.186266e-15
4.900000e-02	6.152675e-15	6.152675e-15	6.152675e-15
5.000000e-02	6.115748e-15	6.115748e-15	6.115748e-15
5.100000e-02	6.075756e-15	6.075756e-15	6.075756e-15
5.200000e-02	6.032963e-15	6.032963e-15	6.032963e-15
5.300000e-02	5.987628e-15	5.987628e-15	5.987628e-15
5.400000e-02	5.940000e-15	5.940000e-15	5.940000e-15
5.500000e-02	5.890323e-15	5.890323e-15	5.890323e-15
5.600000e-02	5.838832e-15	5.838832e-15	5.838832e-15
5.700000e-02	5.785754e-15	5.785754e-15	5.785754e-15
5.800000e-02	5.731307e-15	5.731307e-15	5.731307e-15
5.900000e-02	5.675702e-15	5.675702e-15	5.675702e-15
6.000000e-02	5.619137e-15	5.619137e-15	5.619137e-15
6.100000e-02	5.561805e-15	5.561805e-15	5.561805e-15
6.200000e-02	5.503887e-15	5.503887e-15	5.503887e-15
6.300000e-02	5.445556e-15	5.445556e-15	5.445556e-15
6.400000e-02	5.386974e-15	5.386974e-15	5.386974e-15
6.500000e-02	5.328295e-15	5.328295e-15	5.328295e-15
6.600000e-02	5.269663e-15	5.269663e-15	5.269663e-15
6.700000e-02	5.211214e-15	5.211214e-15	5.211214e-15
6.800000e-02	5.153071e-15	5.153071e-15	5.153071e-15
6.900000e-02	5.095353e-15	5.095353e-15	5.095353e-15
7.000000e-02	5.038167e-15	5.038167e-15	5.038167e-15
7.100000e-02	4.981610e-15	4.981610e-15	4.981610e-15
7.200000e-02	4.925773e-15	4.925773e-15	4.925773e-15
7.300000e-02	4.870738e-15	4.870738e-15	4.870738e-15
7.400000e-02	4.816578e-15	4.816578e-15	4.816578e-15
7.500000e-02	4.763359e-15	4.763359e-15	4.763359e-15
7.600000e-02	4.711137e-15	4.711137e-15	4.711137e-15
7.700000e-02	4.659963e-15	4.659963e-15	4.659963e-15
7.800000e-02	4.609880e-15	4.609880e-15	4.609880e-15
7.900000e-02	4.560924e-15	4.560924e-15	4.560924e-15
8.000000e-02	4.513125e-15	4.513125e-15	4.513125e-15
8.100000e-02	4.466504e-15	4.466504e-15	4.466504e-15
8.200000e-02	4.421080e-15	4.421080e-15	4.421080e-15
8.300000e-02	4.376862e-15	4.376862e-15	4.376862e-15
8.400000e-02	4.333857e-15	4.333857e-15	4.333857e-15
8.500000e-02	4.292064e-15	4.292064e-15	4.292064e-15
8.600000e-02	4.251480e-15	4.251480e-15	4.251480e-15
8.700000e-02	4.212095e-15	4.212095e-15	4.212095e-15
8.800000e-02	4.173897e-15	4.173897e-15	4.173897e-15
8.900000e-02	4.136867e-15	4.136867e-15	4.136867e-15
9.000000e-02	4.100985e-15	4.100985e-15	4.100985e-15
9.100000e-02	4.066228e-15	4.066228e-15	4.066228e-15
9.200000e-02	4.032567e-15	4.032567e-15	4.032567e-15
9.300000e-02	3.999975e-15	3.999975e-15	3.999975e-15
9.400000e-02	3.968417e-15	3.968417e-15	3.968417e-15
9.500000e-02	3.937862e-15	3.937862e-15	3.937862e-15
9.600000e-02	3.908272e-15	3.908272e-15	3.908272e-15
9.700000e-02	3.879612e-15	3.879612e-15	3.879612e-15
9.800000e-02	3.851842e-15	3.851842e-15	3.851842e-15
9.900000e-02	3.824925e-15	3.824925e-15	3.824925e-15
1.000000e-01	3.798820e-15	3.798820e-15	3.798820e-15
1.010000e-01	3.773488e-15	3.773488e-15	3.773488e-15
1.020000e-01	3.748889e-15	3.748889e-15	3.748889e-15
1.030000e-01	3.724984e-15	3.724984e-15	3.724984e-15
1.040000e-01	3.701734e-15	3.701734e-15	3.701734e-15
1.050000e-01	3.679100e-15	3.679100e-15	3.679100e-15
1.060000e-01	3.657045e-15	3.657045e-15	3.657045e-15
1.070000e-01	3.635532e-15	3.635532e-15	3.635532e-15
1.080000e-01	3.614528e-15	3.614528e-15	3.614528e-15
1.090000e-01	3.593997e-15	3.593997e-15	3.593997e-15
1.100000e-01	3.573909e-15	3.573909e-15	3.573909e-15
1.110000e-01	3.554232e-15	3.554232e-15	3.554232e-15
1.120000e-01	3.534939e-15	3.534939e-15	3.534939e-15
1.130000e-01	3.516003e-15	3.516003e-15	3.516003e-15
1.140000e-01	3.497399e-15	3.497399e-15	3.497399e-15
1.150000e-01	3.479106e-15	3.479106e-15	3.479106e-15
1.160000e-01	3.461102e-15	3.461102e-15	3.461102e-15
1.170000e-01	3.443369e-15	3.443369e-15	3.443369e-15
1.180000e-01	3.425893e-15	3.425893e-15	3.425893e-15
1.190000e-01	3.408658e-15	3.408658e-15	3.408658e-15
1.200000e-01	3.391654e-15	3.391654e-15	3.391654e-15
1.210000e-01	3.374871e-15	3.374871e-15	3.374871e-15
1.220000e-01	3.358303e-15	3.358303e-15	3.358303e-15
1.230000e-01	3.341944e-15	3.341944e-15	3.341944e-15
1.240000e-01	3.325791e-15	3.325791e-15	3.325791e-15
1.250000e-01	3.309845e-15	3.309845e-15	3.309845e-15
1.260000e-01	3.294105e-15	3.294105e-15	3.294105e-15
1.270000e-01	3.278574e-15	3.278574e-15	3.278574e-15
1.280000e-01	3.263259e-15	3.263259e-15	3.263259e-15
1.290000e-01	3.248164e-15	3.248164e-15	3.248164e-15
1.300000e-01	3.233299e-15	3.233299e-15	3.233299e-15
