# time(ps) 	kappa_ee_mean	kappa_ee_upper	kappa_ee_lower
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-03	2.590297e-01	2.590297e-01	2.590297e-01
2.000000e-03	5.158113e-01	5.158113e-01	5.158113e-01
3.000000e-03	7.681290e-01	7.681290e-01	7.681290e-01
4.000000e-03	1.013830e+00	1.013830e+00	1.013830e+00
5.000000e-03	1.250853e+00	1.250853e+00	1.250853e+00
6.000000e-03	1.477254e+00	1.477254e+00	1.477254e+00
7.000000e-03	1.691231e+00	1.691231e+00	1.691231e+00
8.000000e-03	1.891144e+00	1.891144e+00	1.891144e+00
9.000000e-03	2.075528e+00	2.075528e+00	2.075528e+00
1.000000e-02	2.243106e+00	2.243106e+00	2.243106e+00
1.100000e-02	2.392798e+00	2.392798e+00	2.392798e+00
1.200000e-02	2.523728e+00	2.523728e+00	2.523728e+00
1.300000e-02	2.635223e+00	2.635223e+00	2.635223e+00
1.400000e-02	2.726812e+00	2.726812e+00	2.726812e+00
1.500000e-02	2.798227e+00	2.798227e+00	2.798227e+00
1.600000e-02	2.849397e+00	2.849397e+00	2.849397e+00
1.700000e-02	2.880441e+00	2.880441e+00	2.880441e+00
1.800000e-02	2.891665e+00	2.891665e+00	2.891665e+00
1.900000e-02	2.883549e+00	2.883549e+00	2.883549e+00
2.000000e-02	2.856742e+00	2.856742e+00	2.856742e+00
2.100000e-02	2.812054e+00	2.812054e+00	2.812054e+00
2.200000e-02	2.750440e+00	2.750440e+00	2.750440e+00
2.300000e-02	2.672994e+00	2.672994e+00	2.672994e+00
2.400000e-02	2.580934e+00	2.580934e+00	2.580934e+00
2.500000e-02	2.475591e+00	2.475591e+00	2.475591e+00
2.600000e-02	2.358397e+00	2.358397e+00	2.358397e+00
2.700000e-02	2.230864e+00	2.230864e+00	2.230864e+00
2.800000e-02	2.094579e+00	2.094579e+00	2.094579e+00
2.900000e-02	1.951178e+00	1.951178e+00	1.951178e+00
3.000000e-02	1.802339e+00	1.802339e+00	1.802339e+00
3.100000e-02	1.649760e+00	1.649760e+00	1.649760e+00
3.200000e-02	1.495146e+00	1.495146e+00	1.495146e+00
3.300000e-02	1.340190e+00	1.340190e+00	1.340190e+00
3.400000e-02	1.186559e+00	1.186559e+00	1.186559e+00
3.500000e-02	1.035878e+00	1.035878e+00	1.035878e+00
3.600000e-02	8.897145e-01	8.897145e-01	8.897145e-01
3.700000e-02	7.495655e-01	7.495655e-01	7.495655e-01
3.800000e-02	6.168428e-01	6.168428e-01	6.168428e-01
3.900000e-02	4.928611e-01	4.928611e-01	4.928611e-01
4.000000e-02	3.788275e-01	3.788275e-01	3.788275e-01
4.100000e-02	2.758308e-01	2.758308e-01	2.758308e-01
4.200000e-02	1.848328e-01	1.848328e-01	1.848328e-01
4.300000e-02	1.066613e-01	1.066613e-01	1.066613e-01
4.400000e-02	4.200334e-02	4.200334e-02	4.200334e-02
4.500000e-02	-8.599386e-03	-8.599386e-03	-8.599386e-03
4.600000e-02	-4.475418e-02	-4.475418e-02	-4.475418e-02
4.700000e-02	-6.621960e-02	-6.621960e-02	-6.621960e-02
4.800000e-02	-7.290644e-02	-7.290644e-02	-7.290644e-02
4.900000e-02	-6.487739e-02	-6.487739e-02	-6.487739e-02
5.000000e-02	-4.234540e-02	-4.234540e-02	-4.234540e-02
5.100000e-02	-5.670833e-03	-5.670833e-03	-5.670833e-03
5.200000e-02	4.464274e-02	4.464274e-02	4.464274e-02
5.300000e-02	1.079539e-01	1.079539e-01	1.079539e-01
5.400000e-02	1.834902e-01	1.834902e-01	1.834902e-01
5.500000e-02	2.703555e-01	2.703555e-01	2.703555e-01
5.600000e-02	3.675398e-01	3.675398e-01	3.675398e-01
5.700000e-02	4.739285e-01	4.739285e-01	4.739285e-01
5.800000e-02	5.883139e-01	5.883139e-01	5.883139e-01
5.900000e-02	7.094076e-01	7.094076e-01	7.094076e-01
6.000000e-02	8.358530e-01	8.358530e-01	8.358530e-01
6.100000e-02	9.662390e-01	9.662390e-01	9.662390e-01
6.200000e-02	1.099115e+00	1.099115e+00	1.099115e+00
6.300000e-02	1.233005e+00	1.233005e+00	1.233005e+00
6.400000e-02	1.366423e+00	1.366423e+00	1.366423e+00
6.500000e-02	1.497888e+00	1.497888e+00	1.497888e+00
6.600000e-02	1.625941e+00	1.625941e+00	1.625941e+00
6.700000e-02	1.749158e+00	1.749158e+00	1.749158e+00
6.800000e-02	1.866164e+00	1.866164e+00	1.866164e+00
6.900000e-02	1.975652e+00	1.975652e+00	1.975652e+00
7.000000e-02	2.076391e+00	2.076391e+00	2.076391e+00
7.100000e-02	2.167241e+00	2.167241e+00	2.167241e+00
7.200000e-02	2.247168e+00	2.247168e+00	2.247168e+00
7.300000e-02	2.315249e+00	2.315249e+00	2.315249e+00
7.400000e-02	2.370685e+00	2.370685e+00	2.370685e+00
7.500000e-02	2.412809e+00	2.412809e+00	2.412809e+00
7.600000e-02	2.441092e+00	2.441092e+00	2.441092e+00
7.700000e-02	2.455148e+00	2.455148e+00	2.455148e+00
7.800000e-02	2.454739e+00	2.454739e+00	2.454739e+00
7.900000e-02	2.439779e+00	2.439779e+00	2.439779e+00
8.000000e-02	2.410329e+00	2.410329e+00	2.410329e+00
8.100000e-02	2.366603e+00	2.366603e+00	2.366603e+00
8.200000e-02	2.308962e+00	2.308962e+00	2.308962e+00
8.300000e-02	2.237910e+00	2.237910e+00	2.237910e+00
8.400000e-02	2.154090e+00	2.154090e+00	2.154090e+00
8.500000e-02	2.058277e+00	2.058277e+00	2.058277e+00
8.600000e-02	1.951369e+00	1.951369e+00	1.951369e+00
8.700000e-02	1.834379e+00	1.834379e+00	1.834379e+00
8.800000e-02	1.708420e+00	1.708420e+00	1.708420e+00
8.900000e-02	1.574701e+00	1.574701e+00	1.574701e+00
9.000000e-02	1.434506e+00	1.434506e+00	1.434506e+00
9.100000e-02	1.289185e+00	1.289185e+00	1.289185e+00
9.200000e-02	1.140140e+00	1.140140e+00	1.140140e+00
9.300000e-02	9.888054e-01	9.888054e-01	9.888054e-01
9.400000e-02	8.366397e-01	8.366397e-01	8.366397e-01
9.500000e-02	6.851050e-01	6.851050e-01	6.851050e-01
9.600000e-02	5.356540e-01	5.356540e-01	5.356540e-01
9.700000e-02	3.897141e-01	3.897141e-01	3.897141e-01
9.800000e-02	2.486733e-01	2.486733e-01	2.486733e-01
9.900000e-02	1.138655e-01	1.138655e-01	1.138655e-01
1.000000e-01	-1.344225e-02	-1.344225e-02	-1.344225e-02
1.010000e-01	-1.320632e-01	-1.320632e-01	-1.320632e-01
1.020000e-01	-2.409018e-01	-2.409018e-01	-2.409018e-01
1.030000e-01	-3.389650e-01	-3.389650e-01	-3.389650e-01
1.040000e-01	-4.253709e-01	-4.253709e-01	-4.253709e-01
1.050000e-01	-4.993576e-01	-4.993576e-01	-4.993576e-01
1.060000e-01	-5.602899e-01	-5.602899e-01	-5.602899e-01
1.070000e-01	-6.076646e-01	-6.076646e-01	-6.076646e-01
1.080000e-01	-6.411153e-01	-6.411153e-01	-6.411153e-01
1.090000e-01	-6.604145e-01	-6.604145e-01	-6.604145e-01
1.100000e-01	-6.654754e-01	-6.654754e-01	-6.654754e-01
1.110000e-01	-6.563520e-01	-6.563520e-01	-6.563520e-01
1.120000e-01	-6.332376e-01	-6.332376e-01	-6.332376e-01
1.130000e-01	-5.964618e-01	-5.964618e-01	-5.964618e-01
1.140000e-01	-5.464870e-01	-5.464870e-01	-5.464870e-01
1.150000e-01	-4.839027e-01	-4.839027e-01	-4.839027e-01
1.160000e-01	-4.094192e-01	-4.094192e-01	-4.094192e-01
1.170000e-01	-3.238597e-01	-3.238597e-01	-3.238597e-01
1.180000e-01	-2.281518e-01	-2.281518e-01	-2.281518e-01
1.190000e-01	-1.233175e-01	-1.233175e-01	-1.233175e-01
1.200000e-01	-1.046310e-02	-1.046310e-02	-1.046310e-02
1.210000e-01	1.092327e-01	1.092327e-01	1.092327e-01
1.220000e-01	2.345305e-01	2.345305e-01	2.345305e-01
1.230000e-01	3.641428e-01	3.641428e-01	3.641428e-01
1.240000e-01	4.967469e-01	4.967469e-01	4.967469e-01
1.250000e-01	6.309979e-01	6.309979e-01	6.309979e-01
1.260000e-01	7.655425e-01	7.655425e-01	7.655425e-01
1.270000e-01	8.990319e-01	8.990319e-01	8.990319e-01
1.280000e-01	1.030135e+00	1.030135e+00	1.030135e+00
1.290000e-01	1.157551e+00	1.157551e+00	1.157551e+00
1.300000e-01	1.280024e+00	1.280024e+00	1.280024e+00
1.310000e-01	1.396350e+00	1.396350e+00	1.396350e+00
1.320000e-01	1.505395e+00	1.505395e+00	1.505395e+00
1.330000e-01	1.606099e+00	1.606099e+00	1.606099e+00
1.340000e-01	1.697491e+00	1.697491e+00	1.697491e+00
1.350000e-01	1.778695e+00	1.778695e+00	1.778695e+00
1.360000e-01	1.848939e+00	1.848939e+00	1.848939e+00
1.370000e-01	1.907562e+00	1.907562e+00	1.907562e+00
1.380000e-01	1.954016e+00	1.954016e+00	1.954016e+00
1.390000e-01	1.987879e+00	1.987879e+00	1.987879e+00
1.400000e-01	2.008849e+00	2.008849e+00	2.008849e+00
1.410000e-01	2.016755e+00	2.016755e+00	2.016755e+00
1.420000e-01	2.011550e+00	2.011550e+00	2.011550e+00
1.430000e-01	1.993317e+00	1.993317e+00	1.993317e+00
1.440000e-01	1.962266e+00	1.962266e+00	1.962266e+00
1.450000e-01	1.918730e+00	1.918730e+00	1.918730e+00
1.460000e-01	1.863166e+00	1.863166e+00	1.863166e+00
1.470000e-01	1.796143e+00	1.796143e+00	1.796143e+00
1.480000e-01	1.718344e+00	1.718344e+00	1.718344e+00
