# time(ps) 	kappa_ev_mean	kappa_ev_upper	kappa_ev_lower
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-03	-3.269036e-09	-3.269036e-09	-3.269036e-09
2.000000e-03	-6.534567e-09	-6.534567e-09	-6.534567e-09
3.000000e-03	-9.791426e-09	-9.791426e-09	-9.791426e-09
4.000000e-03	-1.303436e-08	-1.303436e-08	-1.303436e-08
5.000000e-03	-1.625802e-08	-1.625802e-08	-1.625802e-08
6.000000e-03	-1.945690e-08	-1.945690e-08	-1.945690e-08
7.000000e-03	-2.262538e-08	-2.262538e-08	-2.262538e-08
8.000000e-03	-2.575769e-08	-2.575769e-08	-2.575769e-08
9.000000e-03	-2.884793e-08	-2.884793e-08	-2.884793e-08
1.000000e-02	-3.189010e-08	-3.189010e-08	-3.189010e-08
1.100000e-02	-3.487811e-08	-3.487811e-08	-3.487811e-08
1.200000e-02	-3.780582e-08	-3.780582e-08	-3.780582e-08
1.300000e-02	-4.066712e-08	-4.066712e-08	-4.066712e-08
1.400000e-02	-4.345591e-08	-4.345591e-08	-4.345591e-08
1.500000e-02	-4.616625e-08	-4.616625e-08	-4.616625e-08
1.600000e-02	-4.879233e-08	-4.879233e-08	-4.879233e-08
1.700000e-02	-5.132857e-08	-5.132857e-08	-5.132857e-08
1.800000e-02	-5.376966e-08	-5.376966e-08	-5.376966e-08
1.900000e-02	-5.611062e-08	-5.611062e-08	-5.611062e-08
2.000000e-02	-5.834686e-08	-5.834686e-08	-5.834686e-08
2.100000e-02	-6.047419e-08	-6.047419e-08	-6.047419e-08
2.200000e-02	-6.248886e-08	-6.248886e-08	-6.248886e-08
2.300000e-02	-6.438763e-08	-6.438763e-08	-6.438763e-08
2.400000e-02	-6.616775e-08	-6.616775e-08	-6.616775e-08
2.500000e-02	-6.782700e-08	-6.782700e-08	-6.782700e-08
2.600000e-02	-6.936368e-08	-6.936368e-08	-6.936368e-08
2.700000e-02	-7.077664e-08	-7.077664e-08	-7.077664e-08
2.800000e-02	-7.206527e-08	-7.206527e-08	-7.206527e-08
2.900000e-02	-7.322947e-08	-7.322947e-08	-7.322947e-08
3.000000e-02	-7.426969e-08	-7.426969e-08	-7.426969e-08
3.100000e-02	-7.518684e-08	-7.518684e-08	-7.518684e-08
3.200000e-02	-7.598235e-08	-7.598235e-08	-7.598235e-08
3.300000e-02	-7.665810e-08	-7.665810e-08	-7.665810e-08
3.400000e-02	-7.721638e-08	-7.721638e-08	-7.721638e-08
3.500000e-02	-7.765990e-08	-7.765990e-08	-7.765990e-08
3.600000e-02	-7.799177e-08	-7.799177e-08	-7.799177e-08
3.700000e-02	-7.821539e-08	-7.821539e-08	-7.821539e-08
3.800000e-02	-7.833451e-08	-7.833451e-08	-7.833451e-08
3.900000e-02	-7.835313e-08	-7.835313e-08	-7.835313e-08
4.000000e-02	-7.827551e-08	-7.827551e-08	-7.827551e-08
4.100000e-02	-7.810611e-08	-7.810611e-08	-7.810611e-08
4.200000e-02	-7.784956e-08	-7.784956e-08	-7.784956e-08
4.300000e-02	-7.751064e-08	-7.751064e-08	-7.751064e-08
4.400000e-02	-7.709423e-08	-7.709423e-08	-7.709423e-08
4.500000e-02	-7.660530e-08	-7.660530e-08	-7.660530e-08
4.600000e-02	-7.604886e-08	-7.604886e-08	-7.604886e-08
4.700000e-02	-7.542996e-08	-7.542996e-08	-7.542996e-08
4.800000e-02	-7.475364e-08	-7.475364e-08	-7.475364e-08
4.900000e-02	-7.402489e-08	-7.402489e-08	-7.402489e-08
5.000000e-02	-7.324869e-08	-7.324869e-08	-7.324869e-08
5.100000e-02	-7.242993e-08	-7.242993e-08	-7.242993e-08
5.200000e-02	-7.157339e-08	-7.157339e-08	-7.157339e-08
5.300000e-02	-7.068378e-08	-7.068378e-08	-7.068378e-08
5.400000e-02	-6.976567e-08	-6.976567e-08	-6.976567e-08
5.500000e-02	-6.882348e-08	-6.882348e-08	-6.882348e-08
5.600000e-02	-6.786149e-08	-6.786149e-08	-6.786149e-08
5.700000e-02	-6.688384e-08	-6.688384e-08	-6.688384e-08
5.800000e-02	-6.589445e-08	-6.589445e-08	-6.589445e-08
5.900000e-02	-6.489711e-08	-6.489711e-08	-6.489711e-08
6.000000e-02	-6.389538e-08	-6.389538e-08	-6.389538e-08
6.100000e-02	-6.289266e-08	-6.289266e-08	-6.289266e-08
6.200000e-02	-6.189213e-08	-6.189213e-08	-6.189213e-08
6.300000e-02	-6.089677e-08	-6.089677e-08	-6.089677e-08
6.400000e-02	-5.990936e-08	-5.990936e-08	-5.990936e-08
6.500000e-02	-5.893247e-08	-5.893247e-08	-5.893247e-08
6.600000e-02	-5.796846e-08	-5.796846e-08	-5.796846e-08
6.700000e-02	-5.701950e-08	-5.701950e-08	-5.701950e-08
6.800000e-02	-5.608753e-08	-5.608753e-08	-5.608753e-08
6.900000e-02	-5.517430e-08	-5.517430e-08	-5.517430e-08
7.000000e-02	-5.428135e-08	-5.428135e-08	-5.428135e-08
7.100000e-02	-5.341005e-08	-5.341005e-08	-5.341005e-08
7.200000e-02	-5.256156e-08	-5.256156e-08	-5.256156e-08
7.300000e-02	-5.173684e-08	-5.173684e-08	-5.173684e-08
7.400000e-02	-5.093672e-08	-5.093672e-08	-5.093672e-08
7.500000e-02	-5.016182e-08	-5.016182e-08	-5.016182e-08
7.600000e-02	-4.941261e-08	-4.941261e-08	-4.941261e-08
7.700000e-02	-4.868941e-08	-4.868941e-08	-4.868941e-08
7.800000e-02	-4.799240e-08	-4.799240e-08	-4.799240e-08
7.900000e-02	-4.732162e-08	-4.732162e-08	-4.732162e-08
8.000000e-02	-4.667697e-08	-4.667697e-08	-4.667697e-08
8.100000e-02	-4.605827e-08	-4.605827e-08	-4.605827e-08
8.200000e-02	-4.546521e-08	-4.546521e-08	-4.546521e-08
8.300000e-02	-4.489739e-08	-4.489739e-08	-4.489739e-08
8.400000e-02	-4.435432e-08	-4.435432e-08	-4.435432e-08
8.500000e-02	-4.383546e-08	-4.383546e-08	-4.383546e-08
8.600000e-02	-4.334018e-08	-4.334018e-08	-4.334018e-08
8.700000e-02	-4.286781e-08	-4.286781e-08	-4.286781e-08
8.800000e-02	-4.241762e-08	-4.241762e-08	-4.241762e-08
8.900000e-02	-4.198884e-08	-4.198884e-08	-4.198884e-08
9.000000e-02	-4.158070e-08	-4.158070e-08	-4.158070e-08
9.100000e-02	-4.119238e-08	-4.119238e-08	-4.119238e-08
9.200000e-02	-4.082304e-08	-4.082304e-08	-4.082304e-08
9.300000e-02	-4.047185e-08	-4.047185e-08	-4.047185e-08
9.400000e-02	-4.013796e-08	-4.013796e-08	-4.013796e-08
9.500000e-02	-3.982053e-08	-3.982053e-08	-3.982053e-08
9.600000e-02	-3.951871e-08	-3.951871e-08	-3.951871e-08
9.700000e-02	-3.923168e-08	-3.923168e-08	-3.923168e-08
9.800000e-02	-3.895860e-08	-3.895860e-08	-3.895860e-08
9.900000e-02	-3.869866e-08	-3.869866e-08	-3.869866e-08
1.000000e-01	-3.845107e-08	-3.845107e-08	-3.845107e-08
1.010000e-01	-3.821505e-08	-3.821505e-08	-3.821505e-08
1.020000e-01	-3.798983e-08	-3.798983e-08	-3.798983e-08
1.030000e-01	-3.777467e-08	-3.777467e-08	-3.777467e-08
1.040000e-01	-3.756885e-08	-3.756885e-08	-3.756885e-08
1.050000e-01	-3.737165e-08	-3.737165e-08	-3.737165e-08
1.060000e-01	-3.718240e-08	-3.718240e-08	-3.718240e-08
1.070000e-01	-3.700044e-08	-3.700044e-08	-3.700044e-08
1.080000e-01	-3.682514e-08	-3.682514e-08	-3.682514e-08
1.090000e-01	-3.665587e-08	-3.665587e-08	-3.665587e-08
1.100000e-01	-3.649207e-08	-3.649207e-08	-3.649207e-08
1.110000e-01	-3.633317e-08	-3.633317e-08	-3.633317e-08
1.120000e-01	-3.617863e-08	-3.617863e-08	-3.617863e-08
1.130000e-01	-3.602796e-08	-3.602796e-08	-3.602796e-08
1.140000e-01	-3.588067e-08	-3.588067e-08	-3.588067e-08
1.150000e-01	-3.573633e-08	-3.573633e-08	-3.573633e-08
1.160000e-01	-3.559451e-08	-3.559451e-08	-3.559451e-08
1.170000e-01	-3.545483e-08	-3.545483e-08	-3.545483e-08
1.180000e-01	-3.531693e-08	-3.531693e-08	-3.531693e-08
1.190000e-01	-3.518049e-08	-3.518049e-08	-3.518049e-08
1.200000e-01	-3.504522e-08	-3.504522e-08	-3.504522e-08
1.210000e-01	-3.491084e-08	-3.491084e-08	-3.491084e-08
1.220000e-01	-3.477713e-08	-3.477713e-08	-3.477713e-08
1.230000e-01	-3.464388e-08	-3.464388e-08	-3.464388e-08
1.240000e-01	-3.451091e-08	-3.451091e-08	-3.451091e-08
1.250000e-01	-3.437808e-08	-3.437808e-08	-3.437808e-08
1.260000e-01	-3.424527e-08	-3.424527e-08	-3.424527e-08
1.270000e-01	-3.411238e-08	-3.411238e-08	-3.411238e-08
1.280000e-01	-3.397934e-08	-3.397934e-08	-3.397934e-08
1.290000e-01	-3.384612e-08	-3.384612e-08	-3.384612e-08
1.300000e-01	-3.371268e-08	-3.371268e-08	-3.371268e-08
1.310000e-01	-3.357904e-08	-3.357904e-08	-3.357904e-08
1.320000e-01	-3.344520e-08	-3.344520e-08	-3.344520e-08
1.330000e-01	-3.331121e-08	-3.331121e-08	-3.331121e-08
1.340000e-01	-3.317712e-08	-3.317712e-08	-3.317712e-08
1.350000e-01	-3.304302e-08	-3.304302e-08	-3.304302e-08
1.360000e-01	-3.290899e-08	-3.290899e-08	-3.290899e-08
1.370000e-01	-3.277513e-08	-3.277513e-08	-3.277513e-08
