# time(ps) 	kappa_vv_mean	kappa_vv_upper	kappa_vv_lower
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-03	2.721994e-16	2.721994e-16	2.721994e-16
2.000000e-03	5.437587e-16	5.437587e-16	5.437587e-16
3.000000e-03	8.140404e-16	8.140404e-16	8.140404e-16
4.000000e-03	1.082415e-15	1.082415e-15	1.082415e-15
5.000000e-03	1.348263e-15	1.348263e-15	1.348263e-15
6.000000e-03	1.610983e-15	1.610983e-15	1.610983e-15
7.000000e-03	1.869988e-15	1.869988e-15	1.869988e-15
8.000000e-03	2.124714e-15	2.124714e-15	2.124714e-15
9.000000e-03	2.374623e-15	2.374623e-15	2.374623e-15
1.000000e-02	2.619201e-15	2.619201e-15	2.619201e-15
1.100000e-02	2.857966e-15	2.857966e-15	2.857966e-15
1.200000e-02	3.090466e-15	3.090466e-15	3.090466e-15
1.300000e-02	3.316282e-15	3.316282e-15	3.316282e-15
1.400000e-02	3.535029e-15	3.535029e-15	3.535029e-15
1.500000e-02	3.746361e-15	3.746361e-15	3.746361e-15
1.600000e-02	3.949963e-15	3.949963e-15	3.949963e-15
1.700000e-02	4.145561e-15	4.145561e-15	4.145561e-15
1.800000e-02	4.332916e-15	4.332916e-15	4.332916e-15
1.900000e-02	4.511826e-15	4.511826e-15	4.511826e-15
2.000000e-02	4.682126e-15	4.682126e-15	4.682126e-15
2.100000e-02	4.843687e-15	4.843687e-15	4.843687e-15
2.200000e-02	4.996415e-15	4.996415e-15	4.996415e-15
2.300000e-02	5.140249e-15	5.140249e-15	5.140249e-15
2.400000e-02	5.275161e-15	5.275161e-15	5.275161e-15
2.500000e-02	5.401157e-15	5.401157e-15	5.401157e-15
2.600000e-02	5.518269e-15	5.518269e-15	5.518269e-15
2.700000e-02	5.626562e-15	5.626562e-15	5.626562e-15
2.800000e-02	5.726124e-15	5.726124e-15	5.726124e-15
2.900000e-02	5.817071e-15	5.817071e-15	5.817071e-15
3.000000e-02	5.899541e-15	5.899541e-15	5.899541e-15
3.100000e-02	5.973695e-15	5.973695e-15	5.973695e-15
3.200000e-02	6.039711e-15	6.039711e-15	6.039711e-15
3.300000e-02	6.097789e-15	6.097789e-15	6.097789e-15
3.400000e-02	6.148143e-15	6.148143e-15	6.148143e-15
3.500000e-02	6.191002e-15	6.191002e-15	6.191002e-15
3.600000e-02	6.226608e-15	6.226608e-15	6.226608e-15
3.700000e-02	6.255214e-15	6.255214e-15	6.255214e-15
3.800000e-02	6.277083e-15	6.277083e-15	6.277083e-15
3.900000e-02	6.292486e-15	6.292486e-15	6.292486e-15
4.000000e-02	6.301700e-15	6.301700e-15	6.301700e-15
4.100000e-02	6.305008e-15	6.305008e-15	6.305008e-15
4.200000e-02	6.302696e-15	6.302696e-15	6.302696e-15
4.300000e-02	6.295053e-15	6.295053e-15	6.295053e-15
4.400000e-02	6.282369e-15	6.282369e-15	6.282369e-15
4.500000e-02	6.264933e-15	6.264933e-15	6.264933e-15
4.600000e-02	6.243035e-15	6.243035e-15	6.243035e-15
4.700000e-02	6.216962e-15	6.216962e-15	6.216962e-15
4.800000e-02	6.186997e-15	6.186997e-15	6.186997e-15
4.900000e-02	6.153421e-15	6.153421e-15	6.153421e-15
5.000000e-02	6.116509e-15	6.116509e-15	6.116509e-15
5.100000e-02	6.076532e-15	6.076532e-15	6.076532e-15
5.200000e-02	6.033755e-15	6.033755e-15	6.033755e-15
5.300000e-02	5.988435e-15	5.988435e-15	5.988435e-15
5.400000e-02	5.940822e-15	5.940822e-15	5.940822e-15
5.500000e-02	5.891160e-15	5.891160e-15	5.891160e-15
5.600000e-02	5.839684e-15	5.839684e-15	5.839684e-15
5.700000e-02	5.786622e-15	5.786622e-15	5.786622e-15
5.800000e-02	5.732191e-15	5.732191e-15	5.732191e-15
5.900000e-02	5.676600e-15	5.676600e-15	5.676600e-15
6.000000e-02	5.620051e-15	5.620051e-15	5.620051e-15
6.100000e-02	5.562734e-15	5.562734e-15	5.562734e-15
6.200000e-02	5.504831e-15	5.504831e-15	5.504831e-15
6.300000e-02	5.446515e-15	5.446515e-15	5.446515e-15
6.400000e-02	5.387948e-15	5.387948e-15	5.387948e-15
6.500000e-02	5.329285e-15	5.329285e-15	5.329285e-15
6.600000e-02	5.270668e-15	5.270668e-15	5.270668e-15
6.700000e-02	5.212233e-15	5.212233e-15	5.212233e-15
6.800000e-02	5.154106e-15	5.154106e-15	5.154106e-15
6.900000e-02	5.096403e-15	5.096403e-15	5.096403e-15
7.000000e-02	5.039232e-15	5.039232e-15	5.039232e-15
7.100000e-02	4.982690e-15	4.982690e-15	4.982690e-15
7.200000e-02	4.926869e-15	4.926869e-15	4.926869e-15
7.300000e-02	4.871849e-15	4.871849e-15	4.871849e-15
7.400000e-02	4.817704e-15	4.817704e-15	4.817704e-15
7.500000e-02	4.764499e-15	4.764499e-15	4.764499e-15
7.600000e-02	4.712292e-15	4.712292e-15	4.712292e-15
7.700000e-02	4.661134e-15	4.661134e-15	4.661134e-15
7.800000e-02	4.611066e-15	4.611066e-15	4.611066e-15
7.900000e-02	4.562125e-15	4.562125e-15	4.562125e-15
8.000000e-02	4.514340e-15	4.514340e-15	4.514340e-15
8.100000e-02	4.467735e-15	4.467735e-15	4.467735e-15
8.200000e-02	4.422325e-15	4.422325e-15	4.422325e-15
8.300000e-02	4.378122e-15	4.378122e-15	4.378122e-15
8.400000e-02	4.335132e-15	4.335132e-15	4.335132e-15
8.500000e-02	4.293355e-15	4.293355e-15	4.293355e-15
8.600000e-02	4.252786e-15	4.252786e-15	4.252786e-15
